view,branch_id,primary_angle,secondary_angle,points,length_px,mean_diameter_px,min_diameter_px,start_y,start_x,end_y,end_x
IM0_frame_030,0,-0.1,-21.90,298,323.1,16.01,2.8,190,290,59,117
IM0_frame_030,1,-0.1,-21.90,197,249.02,9.67,6.39,203,190,383,48
IM0_frame_030,2,-0.1,-21.90,220,242.61,11.16,6.39,431,272,332,179
IM0_frame_030,3,-0.1,-21.90,159,203.56,16.4,12.79,270,310,137,179
IM0_frame_030,4,-0.1,-21.90,144,178.62,10.76,4.39,338,451,305,333
IM0_frame_030,5,-0.1,-21.90,130,136.04,17.41,15.18,203,192,331,180
IM0_frame_030,6,-0.1,-21.90,88,108.12,21.73,16.79,137,178,60,117
IM0_frame_030,7,-0.1,-21.90,61,69.11,6.46,4.0,338,451,315,400
IM0_frame_030,8,-0.1,-21.90,65,68.97,20.27,17.18,202,191,138,179
IM0_frame_030,9,-0.1,-21.90,58,67.77,8.98,5.6,389,207,332,181
IM0_frame_030,10,-0.1,-21.90,36,42.04,6.21,4.0,430,272,413,237
IM0_frame_030,11,-0.1,-21.90,34,41.7,13.79,10.79,304,332,271,311
IM0_frame_030,12,-0.1,-21.90,40,40.24,27.03,24.0,58,77,59,116
IM0_frame_030,13,-0.1,-21.90,27,29.31,5.72,2.8,243,300,217,292
IM0_frame_030,14,-0.1,-21.90,23,24.49,8.5,4.0,431,273,425,295
IM2_frame_022,0,40.70,-40.70,234,270.28,17.42,8.79,444,346,212,303
IM2_frame_022,1,40.70,-40.70,142,169.17,18.12,13.18,211,303,300,415
IM2_frame_022,2,40.70,-40.70,126,146.95,23.47,18.78,154,182,212,302
IM2_frame_022,3,40.70,-40.70,109,134.92,11.89,6.39,154,182,89,288
IM2_frame_022,4,40.70,-40.70,41,43.31,6.91,2.0,77,196,117,194
IM2_frame_022,5,40.70,-40.70,32,39.7,16.08,10.39,182,138,152,160
IM2_frame_022,6,40.70,-40.70,33,38.63,22.17,14.79,118,194,150,178
IM2_frame_022,7,40.70,-40.70,27,30.97,17.74,7.19,301,416,295,440
IM2_frame_022,8,40.70,-40.70,28,28.66,21.58,8.39,152,133,152,160
